------ Execution Data ------

Tamanho do Cubo: 15x15x15
N° de Células: 3375
Células Bloqueadas: 337 (10%)
Número de Rotas (Start- Goal): 3000
 
 Block   ;G(n) ;Tempo (ms) 
[14,0,7]  ;  14  ;  249
[6,6,13]  ;  14  ;  104
[6,2,2]  ;  15  ;  88
[0,9,14]  ;  24  ;  255
[4,8,7]  ;  9  ;  13
[6,5,8]  ;  15  ;  57
[3,10,6]  ;  8  ;  7
[11,0,9]  ;  20  ;  145
[8,10,10]  ;  16  ;  43
[12,10,2]  ;  16  ;  77
[2,12,12]  ;  11  ;  28
[1,12,13]  ;  0  ;  0
[9,7,10]  ;  14  ;  73
[11,10,2]  ;  16  ;  68
[11,9,11]  ;  20  ;  237
[1,0,10]  ;  27  ;  342
[2,3,11]  ;  17  ;  81
[5,14,11]  ;  14  ;  39
[2,3,12]  ;  0  ;  0
[12,13,12]  ;  17  ;  65
[4,0,13]  ;  21  ;  82
[1,12,11]  ;  12  ;  12
[1,1,4]  ;  13  ;  6
[13,12,14]  ;  19  ;  39
[3,9,7]  ;  7  ;  7
[10,12,10]  ;  17  ;  31
[11,4,14]  ;  17  ;  51
[6,13,13]  ;  13  ;  55
[14,11,0]  ;  0  ;  0
[11,6,14]  ;  11  ;  11
[12,2,0]  ;  23  ;  178
[2,1,7]  ;  21  ;  140
[11,9,10]  ;  16  ;  22
[2,4,2]  ;  28  ;  245
[12,5,8]  ;  18  ;  35
[11,8,13]  ;  7  ;  3
[5,0,8]  ;  18  ;  30
[5,13,11]  ;  9  ;  6
[0,6,6]  ;  0  ;  0
[5,12,1]  ;  19  ;  53
[1,13,10]  ;  11  ;  4
[1,10,4]  ;  28  ;  114
[8,8,10]  ;  12  ;  11
[10,12,7]  ;  9  ;  5
[0,12,1]  ;  0  ;  0
[9,8,10]  ;  11  ;  10
[13,13,11]  ;  6  ;  1
[8,14,3]  ;  0  ;  0
[4,8,6]  ;  7  ;  1
[1,10,11]  ;  11  ;  8
[7,2,3]  ;  15  ;  20
[11,8,8]  ;  6  ;  2
[9,9,11]  ;  11  ;  12
[1,12,8]  ;  0  ;  0
[12,8,2]  ;  21  ;  83
[0,9,1]  ;  25  ;  122
[14,8,6]  ;  15  ;  15
[13,5,6]  ;  18  ;  20
[0,10,0]  ;  18  ;  30
[11,10,9]  ;  9  ;  4
[8,11,4]  ;  14  ;  19
[8,1,10]  ;  11  ;  1
[9,9,8]  ;  15  ;  26
[10,7,0]  ;  10  ;  4
[8,5,13]  ;  22  ;  66
[9,6,12]  ;  0  ;  0
[0,8,3]  ;  17  ;  27
[0,2,0]  ;  0  ;  0
[6,13,1]  ;  14  ;  10
[2,12,13]  ;  19  ;  20
[7,10,14]  ;  0  ;  0
[5,14,13]  ;  0  ;  0
[1,5,3]  ;  19  ;  25
[11,9,0]  ;  19  ;  32
[10,5,9]  ;  14  ;  14
[3,5,13]  ;  7  ;  2
[7,10,4]  ;  12  ;  10
[0,6,12]  ;  13  ;  12
[7,5,13]  ;  15  ;  20
[5,6,7]  ;  17  ;  26
[7,2,1]  ;  0  ;  0
