------ Execution Data ------ 

Tamanho do Cubo: 25x25x25
N° de Células: 15625
Células Bloqueadas: 4687 (30%)
Número de Rotas (Start- Goal): 6000

 Block   ;G(n) ;Tempo (ms) 
[2,8,6]  ;  14  ;  46
[1,5,7]  ;  0  ;  0
[4,7,2]  ;  0  ;  0
[18,3,11]  ;  36  ;  343
[11,22,7]  ;  0  ;  0
[21,9,5]  ;  0  ;  0
[23,17,13]  ;  21  ;  17
[4,12,0]  ;  31  ;  84
[14,2,3]  ;  0  ;  0
[23,4,18]  ;  15  ;  6
[17,20,7]  ;  0  ;  0
[21,11,12]  ;  0  ;  0
[5,0,8]  ;  39  ;  93
[13,19,17]  ;  0  ;  0
[20,5,22]  ;  0  ;  0
[17,7,6]  ;  0  ;  0
[12,16,19]  ;  0  ;  0
[0,19,24]  ;  0  ;  0
[5,0,16]  ;  29  ;  25
[9,4,19]  ;  36  ;  116
[8,16,15]  ;  0  ;  0
[14,6,22]  ;  28  ;  43
[3,14,8]  ;  24  ;  10
[10,17,5]  ;  32  ;  67
[11,8,20]  ;  24  ;  14
[15,8,2]  ;  0  ;  0
[6,12,11]  ;  15  ;  4
[6,23,15]  ;  0  ;  0
[12,20,10]  ;  0  ;  0
[13,13,21]  ;  0  ;  0
[16,14,6]  ;  0  ;  0
[16,15,3]  ;  22  ;  9
[6,13,13]  ;  15  ;  4
[6,5,0]  ;  40  ;  63
[15,9,19]  ;  13  ;  2
[14,7,8]  ;  7  ;  1
[22,4,22]  ;  0  ;  0
[1,14,22]  ;  0  ;  0
[19,9,18]  ;  0  ;  0
[8,1,7]  ;  0  ;  0
[19,3,15]  ;  20  ;  24
[21,5,5]  ;  17  ;  3
[10,14,0]  ;  0  ;  0
[20,22,4]  ;  10  ;  1
[24,19,1]  ;  0  ;  0
[10,7,7]  ;  26  ;  14
[1,23,23]  ;  0  ;  0
[1,15,21]  ;  29  ;  26
[23,5,22]  ;  0  ;  0
[0,6,20]  ;  0  ;  0
[16,18,0]  ;  18  ;  4
[14,23,7]  ;  44  ;  95
[24,4,15]  ;  0  ;  0
[8,22,8]  ;  0  ;  0
[21,23,24]  ;  45  ;  58
[12,11,21]  ;  0  ;  0
[5,18,11]  ;  0  ;  0
[24,9,4]  ;  0  ;  0
