Custo G(n) ; N° Amostras ; Tempo Médio (ms) 
    1      ;     3       ;   0,00
    2      ;     6       ;   0,33
    3      ;     14       ;   0,21
    4      ;     15       ;   0,40
    5      ;     14       ;   0,50
    6      ;     39       ;   0,97
    7      ;     37       ;   1,76
    8      ;     49       ;   1,86
    9      ;     68       ;   2,53
    10      ;     72       ;   3,18
    11      ;     89       ;   3,71
    12      ;     97       ;   5,52
    13      ;     105       ;   6,31
    14      ;     110       ;   7,95
    15      ;     130       ;   9,55
    16      ;     128       ;   14,32
    17      ;     128       ;   13,74
    18      ;     124       ;   16,54
    19      ;     142       ;   18,70
    20      ;     123       ;   23,33
    21      ;     129       ;   27,87
    22      ;     131       ;   30,74
    23      ;     142       ;   37,72
    24      ;     131       ;   42,90
    25      ;     97       ;   48,99
    26      ;     112       ;   61,46
    27      ;     88       ;   62,77
    28      ;     65       ;   72,63
    29      ;     59       ;   89,69
    30      ;     53       ;   100,64
    31      ;     63       ;   109,52
    32      ;     33       ;   118,76
    33      ;     28       ;   125,54
    34      ;     40       ;   141,07
    35      ;     35       ;   160,20
    36      ;     25       ;   164,88
    37      ;     16       ;   170,88
    38      ;     12       ;   200,67
    39      ;     10       ;   197,90
    40      ;     13       ;   238,92
    41      ;     13       ;   253,38
    42      ;     3       ;   310,33
    43      ;     3       ;   273,00
    44      ;     3       ;   304,67
    45      ;     2       ;   284,50
    46      ;     1       ;   393,00
    47      ;     2       ;   323,00
    48      ;     2       ;   378,50
    49      ;     1       ;   362,00
    51      ;     1       ;   390,00
