Custo G(n) ; N° Amostras ; Tempo Médio (ms) 
    0      ;     1       ;   0,00
    1      ;     1       ;   0,00
    2      ;     4       ;   0,00
    3      ;     4       ;   0,50
    4      ;     5       ;   0,60
    5      ;     9       ;   0,44
    6      ;     21       ;   0,86
    7      ;     14       ;   1,50
    8      ;     31       ;   1,58
    9      ;     31       ;   2,29
    10      ;     32       ;   3,09
    11      ;     40       ;   3,75
    12      ;     56       ;   5,04
    13      ;     63       ;   6,33
    14      ;     54       ;   7,80
    15      ;     68       ;   8,94
    16      ;     87       ;   11,18
    17      ;     88       ;   13,44
    18      ;     78       ;   16,81
    19      ;     94       ;   17,70
    20      ;     118       ;   22,05
    21      ;     81       ;   23,86
    22      ;     112       ;   27,47
    23      ;     104       ;   33,44
    24      ;     107       ;   37,21
    25      ;     116       ;   41,63
    26      ;     121       ;   51,67
    27      ;     124       ;   53,32
    28      ;     147       ;   69,39
    29      ;     141       ;   75,14
    30      ;     109       ;   74,82
    31      ;     115       ;   88,70
    32      ;     126       ;   99,96
    33      ;     103       ;   110,22
    34      ;     120       ;   120,68
    35      ;     107       ;   140,26
    36      ;     129       ;   149,41
    37      ;     85       ;   158,60
    38      ;     103       ;   188,37
    39      ;     97       ;   206,67
    40      ;     81       ;   230,51
    41      ;     93       ;   253,25
    42      ;     70       ;   287,04
    43      ;     70       ;   325,60
    44      ;     73       ;   353,03
    45      ;     57       ;   379,26
    46      ;     48       ;   365,17
    47      ;     50       ;   453,08
    48      ;     28       ;   511,04
    49      ;     38       ;   488,00
    50      ;     38       ;   549,26
    51      ;     30       ;   602,87
    52      ;     27       ;   667,33
    53      ;     21       ;   639,19
    54      ;     18       ;   792,17
    55      ;     17       ;   839,29
    56      ;     18       ;   861,50
    57      ;     12       ;   910,42
    58      ;     10       ;   873,90
    59      ;     11       ;   1.074,73
    60      ;     14       ;   1.166,36
    61      ;     8       ;   1.278,00
    62      ;     6       ;   1.235,00
    63      ;     3       ;   1.367,67
    64      ;     8       ;   1.361,88
    65      ;     3       ;   1.527,67
    66      ;     3       ;   1.423,67
    67      ;     2       ;   1.117,00
    70      ;     1       ;   1.539,00
