0x10010000  0x00000020
0x10010004  0x2d000000 
0x10010008  0x1a90a731 
0x1001000c  0x0e094740 
0x10010010  0x07200112 
0x10010014  0x03938aa6 
0x10010018  0x01ca3794
0x1001001c  0x00e52a1a 
0x10010020  0x007296d7
0x10010024  0x00394ba5 
0x10010028  0x001ca5d9 
0x1001002c  0x000e52ed 
0x10010030  0x00072976
0x10010034  0x000394bb 
0x10010038  0x0001ca5d 
0x1001003c  0x0000e52e 
0x10010040  0x00007297 
0x10010044  0x0000394b 
0x10010048  0x00001ca5
0x1001004c  0x00000e52 
0x10010050  0x00000729 
0x10010054  0x00000394 
0x10010058  0x000001ca 
0x1001005c  0x000000e5 
0x10010060  0x00000072
0x10010064  0x00000039 
0x10010068  0x0000001c 
0x1001006c  0x0000000e 
0x10010070  0x00000007 
0x10010074  0x00000003 
0x10010078  0x00000001
0x1001007c  0x00000000 
0x10010080  0x00000000
